Lead_ID,First_Name,Last_Name,Email,Phone_Number,City,Region,Country,Total_Visits,First_Visit_Date,Last_Visit_Date,Avg_Time_Spent_Sec,Total_Time_Spent_Sec,Pages_Viewed,Active_Time_Window,Product_Pages_Viewed,Primary_Product_Page,Primary_Product_Category,Primary_Product_Value,Cart_Value,Added_To_Cart,Purchased,Purchase_Value,Lead_Source,UTM_Campaign,Engagement_Score,Bounce_Rate,New_vs_Returning,Last_Engaged_Page,Newsletter_Subscribed,WhatsApp_OptIn,Device_Type,Browser,Last_Contact_Date,Lead_Status
L023,Ananya,Rathod,ananya.rathod@email.com,9234567899,Pune,Maharashtra,India,13,01-12-2024,16-02-2025,320,4160,17,09:00-17:00,https://theobroma.in/products/strawberry-custard-cake-1|https://theobroma.in/products/black-forest-cake-1|https://theobroma.in/products/theobroma-signature-brownie-cake,https://theobroma.in/products/strawberry-custard-cake-1,Cakes,750,3200,Yes,Yes,6200,Organic Search,cake-premium,83,2,Returning,https://theobroma.in/products/strawberry-custard-cake-1,Yes,Yes,Desktop,Chrome,16-02-2025,Customer
L024,Yash,Malhotra,yash.malhotra@email.com,9012345678,Prayagraj,Uttar Pradesh,India,4,10-02-2025,15-02-2025,170,680,6,16:00-20:00,https://theobroma.in/products/chocolate-chip-brownie,https://theobroma.in/products/chocolate-chip-brownie,Brownies,450,450,No,No,0,Instagram,brownie-ig,45,18,New,https://theobroma.in/products/chocolate-chip-brownie,No,No,Mobile,Chrome,15-02-2025,Lead
L025,Anurag,Chaudhary,anurag.chaudhary@email.com,9345678901,Hyderabad,Telangana,India,6,22-01-2025,08-02-2025,250,1500,9,14:00-18:00,https://theobroma.in/products/eggless-rich-chocolate-cake,https://theobroma.in/products/eggless-rich-chocolate-cake,Cakes,700,2100,Yes,Yes,3200,Organic Search,cake-eggless,70,6,Returning,https://theobroma.in/products/eggless-rich-chocolate-cake,Yes,Yes,Desktop,Chrome,08-02-2025,Customer
L026,Hemangi,Jog,hemangi.jog@email.com,8765432109,Chennai,Tamil Nadu,India,7,18-01-2025,07-02-2025,280,1960,11,09:00-17:00,https://theobroma.in/products/choco-vanilla-oreo-cake,https://theobroma.in/products/choco-vanilla-oreo-cake,Cakes,680,2360,Yes,No,0,Facebook,cake-facebook,67,7,Returning,https://theobroma.in/products/choco-vanilla-oreo-cake,No,Yes,Mobile,Chrome,07-02-2025,Lead
L027,Ritesh,Nair,ritesh.nair@email.com,9234567890,Coimbatore,Tamil Nadu,India,5,02-02-2025,06-02-2025,190,950,8,11:00-14:00,https://theobroma.in/products/assorted-brownies-box-9-pcs,https://theobroma.in/products/assorted-brownies-box-9-pcs,Brownies,520,520,No,No,0,Direct,navigation,44,16,New,https://theobroma.in/collections/brownies,No,No,Mobile,Chrome,06-02-2025,Lead
L028,Shruti,Kulkarni,shruti.kulkarni@email.com,8901234567,Mysore,Karnataka,India,8,18-12-2024,05-02-2025,310,2480,14,08:00-16:00,https://theobroma.in/products/eggless-fresh-cream-pineapple-cake-1-kg|https://theobroma.in/products/eggless-fresh-cream-pineapple-cake-1-2-kg,https://theobroma.in/products/eggless-fresh-cream-pineapple-cake-1-kg,Cakes,850,3400,Yes,Yes,5000,Email Campaign,cake-eggless-2,79,4,Returning,https://theobroma.in/products/eggless-fresh-cream-pineapple-cake-1-kg,Yes,Yes,Desktop,Chrome,05-02-2025,Customer
L029,Anushka,Saxena,anushka.saxena@email.com,9456123456,Dehradun,Uttarakhand,India,4,08-02-2025,04-02-2025,165,660,5,15:00-19:00,https://theobroma.in/products/lotus-biscoff-cheesecake-tub-200g,https://theobroma.in/products/lotus-biscoff-cheesecake-tub-200g,Desserts,250,500,Yes,No,0,Google Ads,dessert-ads,48,13,New,https://theobroma.in/products/lotus-biscoff-cheesecake-tub-200g,No,No,Mobile,Chrome,04-02-2025,Lead
L030,Vikrant,Sharma,vikrant.sharma@email.com,8765432110,Hostpur,Tamil Nadu,India,9,25-12-2024,03-02-2025,330,2970,16,07:00-17:00,https://theobroma.in/products/eggless-butterscotch-milk-chocolate-cake|https://theobroma.in/products/butterscotch-milk-chocolate-cake,https://theobroma.in/products/eggless-butterscotch-milk-chocolate-cake,Cakes,720,3300,Yes,Yes,4800,Organic Search,cake-butterscotch,75,5,Returning,https://theobroma.in/products/eggless-butterscotch-milk-chocolate-cake,Yes,Yes,Desktop,Chrome,03-02-2025,Customer
L031,Megha,Tiwari,megha.tiwari@email.com,9234567890,Jalandhar,Punjab,India,6,28-01-2025,02-02-2025,220,1320,10,10:00-15:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,1200,Yes,No,0,Instagram,tart-ig,57,9,Returning,https://theobroma.in/products/lemon-tart,No,Yes,Mobile,Chrome,02-02-2025,Active
L032,Ajit,Kumar,ajit.kumar@email.com,8890234567,Ludhiana,Punjab,India,5,05-02-2025,01-02-2025,185,925,7,12:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,660,Yes,No,0,Facebook,tart-facebook,52,11,New,https://theobroma.in/products/banoffee-tart,No,No,Mobile,Chrome,01-02-2025,Lead
L033,Pratibha,Mohite,pratibha.mohite@email.com,9234567890,Patiala,Punjab,India,7,12-01-2025,31-01-2025,290,2030,12,09:00-17:00,https://theobroma.in/products/choco-caramel-tart|https://theobroma.in/products/tiramisu-jar,https://theobroma.in/products/choco-caramel-tart,Desserts,240,1680,Yes,Yes,2400,Email Campaign,dessert-campaign,66,5,Returning,https://theobroma.in/products/choco-caramel-tart,Yes,No,Desktop,Chrome,31-01-2025,Customer
L034,Sumeet,Gore,sumeet.gore@email.com,8765432112,Karnal,Haryana,India,3,15-02-2025,30-01-2025,140,420,4,18:00-21:00,https://theobroma.in/products/chocolate-mousse-cup-100g,https://theobroma.in/products/chocolate-mousse-cup-100g,Desserts,170,170,No,No,0,Direct,navigation,32,28,New,https://theobroma.in/collections/desserts-cupcakes,No,No,Mobile,Chrome,30-01-2025,Lead
L035,Rohit,Deshpande,rohit.deshpande@email.com,9123456790,Ambala,Haryana,India,6,20-01-2025,29-01-2025,230,1380,9,11:00-16:00,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Cakes,950,2850,Yes,Yes,3800,Facebook,cake-promotion,69,6,Returning,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Yes,Yes,Desktop,Chrome,29-01-2025,Customer
L036,Nisha,Bhardwaj,nisha.bhardwaj@email.com,8765432111,Anand,Gujarat,India,3,12-02-2025,28-01-2025,140,420,3,17:00-20:00,https://theobroma.in/products/millionaire-brownie,https://theobroma.in/products/millionaire-brownie,Brownies,460,460,No,No,0,Instagram,brownie-insta,36,24,New,https://theobroma.in/products/millionaire-brownie,No,No,Mobile,Chrome,28-01-2025,Lead
L037,Arjun,Singh,arjun.singh@email.com,9234567891,Bengaluru,Karnataka,India,10,20-12-2024,27-01-2025,325,3250,17,07:00-18:00,https://theobroma.in/products/dutch-truffle-cake-1-2-kg|https://theobroma.in/products/dutch-truffle-cake-1-kg,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,Cakes,1000,4200,Yes,Yes,6500,Google Ads,triple-cake,86,2,Returning,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,Yes,Yes,Desktop,Chrome,27-01-2025,Customer
L038,Geeta,Raj,geeta.raj@email.com,9567890124,Srinagar,Jammu & Kashmir,India,2,18-02-2025,26-01-2025,125,250,2,19:00-22:00,https://theobroma.in/products/chocolate-cupcake,https://theobroma.in/products/chocolate-cupcake,Desserts,185,185,No,No,0,Direct,navigation,28,35,New,https://theobroma.in/collections/desserts-cupcakes,No,No,Mobile,Chrome,26-01-2025,Lead
L039,Kamal,Agarwal,kamal.agarwal@email.com,8901234568,Pune,Maharashtra,India,7,15-01-2025,25-01-2025,270,1890,12,10:00-14:00,https://theobroma.in/products/chocoholic-cake-1-2-kg|https://theobroma.in/products/fresh-cream-pineapple-cake-1-2-kg,https://theobroma.in/products/chocoholic-cake-1-2-kg,Cakes,1050,3150,Yes,Yes,4200,Email Campaign,cakes-mega,73,5,Returning,https://theobroma.in/products/chocoholic-cake-1-2-kg,Yes,Yes,Desktop,Chrome,25-01-2025,Customer
L040,Lakshmi,Menon,lakshmi.menon@email.com,9234567892,Kochi,Kerala,India,5,03-02-2025,24-01-2025,195,975,8,12:00-17:00,https://theobroma.in/products/hazelnut-praline-mousse-cake-1-2-kg,https://theobroma.in/products/hazelnut-praline-mousse-cake-1-2-kg,Cakes,900,1800,Yes,No,0,Social Media,premium-cakes,61,10,Returning,https://theobroma.in/products/hazelnut-praline-mousse-cake-1-2-kg,No,Yes,Mobile,Chrome,24-01-2025,Active
L041,Pallavi,Sharma,pallavi.sharma@email.com,8765432113,Lucknow,Uttar Pradesh,India,4,10-02-2025,23-01-2025,160,640,5,14:00-18:00,https://theobroma.in/products/new-york-style-baked-cheesecake-500g,https://theobroma.in/products/new-york-style-baked-cheesecake-500g,Cakes,1100,1100,No,No,0,Facebook,cheesecake-fb,47,15,New,https://theobroma.in/products/new-york-style-baked-cheesecake-500g,No,No,Mobile,Chrome,23-01-2025,Lead
L042,Sanjiv,Chawla,sanjiv.chawla@email.com,9345678902,Jaipur,Rajasthan,India,8,08-01-2025,22-01-2025,300,2400,13,09:00-17:00,https://theobroma.in/products/red-velvet-cake-1-2-kg|https://theobroma.in/products/eggless-red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,800,3200,Yes,Yes,4500,Organic Search,red-velvet,76,4,Returning,https://theobroma.in/products/red-velvet-cake-1-2-kg,Yes,Yes,Desktop,Chrome,22-01-2025,Customer
L043,Harsha,Kunte,harsha.kunte@email.com,9123456791,Bangalore,Karnataka,India,6,25-01-2025,21-01-2025,240,1440,10,15:00-19:00,https://theobroma.in/products/eggless-dark-chocolate-mousse-cake,https://theobroma.in/products/eggless-dark-chocolate-mousse-cake,Cakes,750,2250,Yes,Yes,3300,Email Campaign,eggless-special,71,5,Returning,https://theobroma.in/products/eggless-dark-chocolate-mousse-cake,Yes,Yes,Desktop,Chrome,21-01-2025,Customer
L044,Vaishnavi,Kulkarni,vaishnavi.kulkarni@email.com,8765432114,Aurangabad,Maharashtra,India,4,08-02-2025,20-01-2025,170,680,6,11:00-15:00,https://theobroma.in/products/blueberry-cheesecake-cup,https://theobroma.in/products/blueberry-cheesecake-cup,Desserts,360,1080,Yes,No,0,Instagram,cheesecake-ig,54,8,Returning,https://theobroma.in/products/blueberry-cheesecake-cup,No,Yes,Mobile,Chrome,20-01-2025,Active
L045,Sumit,Tripathi,sumit.tripathi29@gmail.com,8726327566,Thiruvananthapuram,Tamil Nadu,India,2,24-12-2024,25-02-2025,122,3705,4,09:00-18:00,https://theobroma.in/products/dense-loaf-350g,https://theobroma.in/products/dense-loaf-350g,Breads,180,4807,No,No,0,Google Ads,cakes-campaign,83,11,New,https://theobroma.in/products/dense-loaf-350g,Yes,No,Desktop,Edge,25-02-2025,Qualified
L046,Vikram,Kulkarni,vikram.kulkarni81@gmail.com,7254821236,Lucknow,Gujarat,India,7,28-12-2024,19-02-2025,274,1205,11,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,1862,Yes,Yes,980,Organic Search,cakes-campaign,25,45,Returning,https://theobroma.in/products/fresh-fruit-cream-cake,Yes,No,Mobile,Edge,19-02-2025,Lead
L047,Anurag,Nambiar,anurag.nambiar57@gmail.com,8770695733,Jaipur,Maharashtra,India,14,11-01-2025,19-02-2025,233,3437,10,09:00-18:00,https://theobroma.in/products/red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,3085,No,Yes,750,Direct,cakes-campaign,94,47,Returning,https://theobroma.in/products/red-velvet-cake-1-2-kg,Yes,Yes,Desktop,Safari,19-02-2025,Customer
L048,Amit,Nair,amit.nair10@gmail.com,8983369876,Pune,Uttarakhand,India,6,13-12-2024,26-02-2025,268,3369,3,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,1237,Yes,No,0,Organic Search,cakes-campaign,59,11,Returning,https://theobroma.in/products/banoffee-tart,No,No,Desktop,Chrome,26-02-2025,Active
L049,Divya,Bhatt,divya.bhatt56@gmail.com,7974935120,Cochin,West Bengal,India,11,25-01-2025,01-03-2025,265,1227,6,09:00-18:00,https://theobroma.in/products/choco-chip-brownie,https://theobroma.in/products/choco-chip-brownie,Brownies,450,1881,Yes,No,0,Email Campaign,cakes-campaign,30,18,New,https://theobroma.in/products/choco-chip-brownie,Yes,Yes,Mobile,Edge,01-03-2025,Qualified
L050,Nitin,Malhotra,nitin.malhotra42@gmail.com,8763200957,Cochin,Uttar Pradesh,India,1,13-01-2025,26-02-2025,397,3222,1,09:00-18:00,https://theobroma.in/products/chocoholic-cake-1-2-kg,https://theobroma.in/products/chocoholic-cake-1-2-kg,Cakes,1050,300,Yes,No,0,Facebook,cakes-campaign,66,29,Returning,https://theobroma.in/products/chocoholic-cake-1-2-kg,No,Yes,Mobile,Chrome,26-02-2025,Active
L051,Nitin,Kulkarni,nitin.kulkarni75@gmail.com,8118495008,Kolkata,West Bengal,India,2,08-01-2025,28-02-2025,173,2327,20,09:00-18:00,https://theobroma.in/products/red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,1133,No,Yes,750,Direct,cakes-campaign,73,21,New,https://theobroma.in/products/red-velvet-cake-1-2-kg,Yes,Yes,Tablet,Edge,28-02-2025,Customer
L052,Kavita,Tripathi,kavita.tripathi20@gmail.com,9637662512,Dehradun,Uttarakhand,India,11,15-12-2024,22-02-2025,291,1295,8,09:00-18:00,https://theobroma.in/products/blueberry-cheesecake,https://theobroma.in/products/blueberry-cheesecake,Cakes,1200,2452,Yes,No,0,Organic Search,cakes-campaign,30,44,New,https://theobroma.in/products/blueberry-cheesecake,No,No,Mobile,Safari,22-02-2025,Lead
L053,Deepak,Bhardwaj,deepak.bhardwaj45@gmail.com,9276415403,Mumbai,Kerala,India,13,30-01-2025,21-02-2025,331,1783,13,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,3897,Yes,Yes,220,Organic Search,cakes-campaign,71,6,New,https://theobroma.in/products/banoffee-tart,Yes,No,Desktop,Edge,21-02-2025,Active
L054,Nitin,Verma,nitin.verma84@gmail.com,8745227420,Thiruvananthapuram,Karnataka,India,5,09-01-2025,26-02-2025,137,4242,2,09:00-18:00,https://theobroma.in/products/dense-loaf-350g,https://theobroma.in/products/dense-loaf-350g,Breads,180,3245,No,Yes,180,Social Media,cakes-campaign,28,8,New,https://theobroma.in/products/dense-loaf-350g,Yes,Yes,Mobile,Chrome,26-02-2025,Qualified
L055,Yash,Joshi,yash.joshi46@gmail.com,7176733660,Chennai,Telangana,India,11,17-01-2025,28-02-2025,368,1410,14,09:00-18:00,https://theobroma.in/products/millionaire-brownie,https://theobroma.in/products/millionaire-brownie,Brownies,460,2852,Yes,No,0,Instagram,cakes-campaign,58,29,Returning,https://theobroma.in/products/millionaire-brownie,No,Yes,Tablet,Chrome,28-02-2025,Lead
L056,Nitin,Rathod,nitin.rathod85@gmail.com,9355826885,Surat,Uttarakhand,India,7,13-01-2025,25-02-2025,322,2586,10,09:00-18:00,https://theobroma.in/products/red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,97,Yes,No,0,Google Ads,cakes-campaign,24,19,New,https://theobroma.in/products/red-velvet-cake-1-2-kg,No,Yes,Mobile,Edge,25-02-2025,Lead
L057,Ananya,Menon,ananya.menon94@gmail.com,7243214507,Bengaluru,Telangana,India,4,19-01-2025,21-02-2025,239,3240,11,09:00-18:00,https://theobroma.in/products/blueberry-cheesecake,https://theobroma.in/products/blueberry-cheesecake,Cakes,1200,2577,Yes,No,0,Social Media,cakes-campaign,63,24,Returning,https://theobroma.in/products/blueberry-cheesecake,Yes,Yes,Mobile,Edge,21-02-2025,Lead
L058,Anurag,Misra,anurag.misra6@gmail.com,9881414848,Bengaluru,Tamil Nadu,India,7,25-01-2025,27-02-2025,128,4930,15,09:00-18:00,https://theobroma.in/products/dense-loaf-350g,https://theobroma.in/products/dense-loaf-350g,Breads,180,821,Yes,No,0,Email Campaign,cakes-campaign,71,21,Returning,https://theobroma.in/products/dense-loaf-350g,Yes,Yes,Tablet,Chrome,27-02-2025,Lead
L059,Sunita,Kapoor,sunita.kapoor85@gmail.com,9441545960,Kanpur,Uttar Pradesh,India,12,09-01-2025,22-02-2025,188,3763,8,09:00-18:00,https://theobroma.in/products/red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,4821,Yes,No,0,Facebook,cakes-campaign,60,23,New,https://theobroma.in/products/red-velvet-cake-1-2-kg,Yes,Yes,Desktop,Safari,22-02-2025,Active
