lead_id,name,title,company,region,lead_source,visits,time_on_site,pages_per_visit,converted,page_link,opportunity_id,product,deal_stage,close_value,intent_score,status,close_date,engage_date,email
L_JX_010,William Taylor,Groom-to-be,Tiffany,North America,Word of Mouth,6,18.0,7,True,https://www.tiffany.com/engagement/engagement-rings/platinum-diamond-engagement-rings-1711.html,OP_JX_110,The Tiffany Setting Engagement Ring,Closed Won,1800,95,Converted,2024-12-10,2024-11-01,william.taylor@gmail.com
L_JX_011,Jacob White,Anniversary Buyer,Tiffany,Europe,Pinterest,15,49.9,1,True,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-necklaces-pendants-1904368010.html,OP_JX_111,Olive Leaf Vine Pendant,Qualification,11232,47,In Progress,2024-12-05,2024-10-29 00:00:00,jacob.white@gmail.com
L_JX_012,Abigail Lee,Style Blogger,Tiffany,East Asia,Pinterest,2,17.7,3,True,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-mini-1364340236.html,OP_JX_112,"Smile Pendant in Yellow Gold, Mini",Proposal,5446,39,Cold,2024-12-28,2024-11-24 00:00:00,abigail.lee@gmail.com
L_JX_013,Owen Baker,Corporate Buyer,Tiffany,Oceania,Instagram,2,24.0,7,True,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-11k-yellow-gold-1904359410.html,OP_JX_113,"Open Heart Pendant in Yellow Gold, 11 mm",Lead,14801,15,Converted,2024-12-12,2024-10-18 00:00:00,owen.baker@gmail.com
L_JX_014,Jack Roberts,Gift Buyer,Tiffany,North America,Google Search,6,11.7,2,False,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-necklaces-pendants-1904368010.html,OP_JX_114,Olive Leaf Vine Pendant,Closed Won,26618,68,In Progress,,2024-11-08 00:00:00,jack.roberts@gmail.com
L_JX_015,Jack King,Gift Buyer,Tiffany,Asia Pacific,Direct,6,18.8,12,True,https://www.tiffany.com/jewelry/necklaces-pendants/picasso-graffiti-18k-yellow-gold-necklaces-pendants-1904370941.html,OP_JX_115,Love Pendant (Paloma's Graffiti),Lead,672,35,Converted,2024-12-01,2024-11-29 00:00:00,jack.king@gmail.com
L_JX_016,Henry Robinson,Engagement Shopper,Tiffany,Europe,Direct,1,28.5,1,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424518852.html,OP_JX_116,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.05 ct),Qualification,16440,64,Pending,,2024-11-09 00:00:00,henry.robinson@gmail.com
L_JX_017,Ella Lewis,Gift Buyer,Tiffany,Western Europe,Referral,2,47.5,5,False,https://www.tiffany.com/jewelry/necklaces-pendants/picasso-graffiti-18k-yellow-gold-necklaces-pendants-1904370941.html,OP_JX_117,Love Pendant (Paloma's Graffiti),Proposal,16005,18,Converted,,2024-11-04 00:00:00,ella.lewis@gmail.com
L_JX_018,Logan Moore,Luxury Shopper,Tiffany,Western Europe,Word of Mouth,6,18.4,11,False,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-11k-yellow-gold-1904359410.html,OP_JX_118,"Open Heart Pendant in Yellow Gold, 11 mm",Closed Won,16703,49,Converted,,2024-10-24 00:00:00,logan.moore@gmail.com
L_JX_019,Mila Clark,Fashion Enthusiast,Tiffany,Western Europe,Facebook,4,6.6,10,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-open-heart-18k-rose-gold-necklaces-pendants-1414122376.html,OP_JX_119,"Open Heart Pendant in Rose Gold, 7 mm",Negotiation,13076,29,Cold,,2024-10-06 00:00:00,mila.clark@gmail.com
L_JX_020,Victoria Flores,Style Blogger,Tiffany,East Asia,Direct,2,48.0,11,False,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_120,Loving Heart Pendant,Qualification,21331,31,Converted,,2024-10-07 00:00:00,victoria.flores@gmail.com
L_JX_021,James Smith,Luxury Shopper,Tiffany,Western Europe,Facebook,3,47.3,4,False,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-natural-freshwater-pearl-necklaces-pendants-1904583607.html,OP_JX_121,Olive Leaf Pendant in Yellow Gold with Pearls,Proposal,27658,89,Ready,,2024-11-04 00:00:00,james.smith@gmail.com
L_JX_022,Sebastian Young,Wedding Planner,Tiffany,East Asia,Facebook,6,11.4,9,False,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-11k-yellow-gold-1904359410.html,OP_JX_122,"Open Heart Pendant in Yellow Gold, 11 mm",Initial Contact,29381,100,Ready,,2024-10-13 00:00:00,sebastian.young@gmail.com
L_JX_023,Camila Wright,Jewelry Collector,Tiffany,Middle East,LinkedIn,12,6.7,3,True,https://www.tiffany.com/jewelry/necklaces-pendants/ep-open-heart-18k-rose-gold-necklaces-pendants-1414122376.html,OP_JX_123,"Open Heart Pendant in Rose Gold, 7 mm",Closed Won,13537,27,In Progress,2024-12-22,2024-10-07 00:00:00,camila.wright@gmail.com
L_JX_024,Henry Robinson,Engagement Shopper,Tiffany,North America,Facebook,6,2.5,10,False,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_124,Loving Heart Pendant,Lead,1985,39,Ready,,2024-11-26 00:00:00,henry.robinson@gmail.com
L_JX_025,Chloe Carter,Anniversary Buyer,Tiffany,Europe,Google Search,8,9.4,4,False,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-mini-1364340236.html,OP_JX_125,"Smile Pendant in Yellow Gold, Mini",Proposal,19901,99,In Progress,,2024-11-10 00:00:00,chloe.carter@gmail.com
L_JX_026,Ella Lewis,Gift Buyer,Tiffany,North America,Referral,1,5.1,8,False,https://www.tiffany.com/jewelry/necklaces-pendants/return-to-tiffany-18k-rose-gold-necklaces-pendants-1364377759.html,OP_JX_126,"Heart Tag Pendant in Rose Gold, Mini",Lead,4877,18,In Progress,,2024-10-14 00:00:00,ella.lewis@gmail.com
L_JX_027,Sofia Allen,Jewelry Collector,Tiffany,Western Europe,Referral,10,7.0,2,False,https://www.tiffany.com/jewelry/necklaces-pendants/18k-rose-gold-round-brilliant-diamonds-necklaces-pendants-1904170050.html,OP_JX_127,Olive Leaf Pendant in Rose Gold,Initial Contact,16369,15,Cold,,2024-10-18 00:00:00,sofia.allen@gmail.com
L_JX_028,Jacob White,Engagement Shopper,Tiffany,East Asia,Word of Mouth,12,49.2,6,False,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_128,"Open Heart Pendant in Yellow Gold, 7 mm",Closed Won,10908,55,Converted,,2024-11-24 00:00:00,jacob.white@gmail.com
L_JX_029,Evelyn Jackson,Gift Buyer,Tiffany,Oceania,Partnership,14,33.7,3,True,https://www.tiffany.com/jewelry/necklaces-pendants/18k-rose-gold-round-brilliant-diamonds-necklaces-pendants-1904170050.html,OP_JX_129,Olive Leaf Pendant in Rose Gold,Proposal,4264,84,Cold,2024-12-30,2024-10-04 00:00:00,evelyn.jackson@gmail.com
L_JX_030,Grace Campbell,Luxury Shopper,Tiffany,Latin America,Facebook,12,21.0,9,False,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_130,"Open Heart Pendant in Yellow Gold, 7 mm",Lead,5757,59,Pending,,2024-11-25 00:00:00,grace.campbell@gmail.com
L_JX_031,Ava Miller,Self-Gifting,Tiffany,North America,Word of Mouth,3,46.9,7,False,https://www.tiffany.com/jewelry/necklaces-pendants/return-to-tiffany-18k-rose-gold-necklaces-pendants-1364377759.html,OP_JX_131,"Heart Tag Pendant in Rose Gold, Mini",Lead,4037,12,Pending,,2024-10-27 00:00:00,ava.miller@gmail.com
L_JX_032,Camila Wright,Corporate Buyer,Tiffany,Oceania,Referral,10,4.6,7,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424550743.html,OP_JX_132,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.03 ct),Initial Contact,29336,24,Ready,,2024-11-01 00:00:00,camila.wright@gmail.com
L_JX_033,Jack Roberts,Corporate Buyer,Tiffany,East Asia,LinkedIn,7,28.3,2,False,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-natural-freshwater-pearl-necklaces-pendants-1904583607.html,OP_JX_133,Olive Leaf Pendant in Yellow Gold with Pearls,Initial Contact,20225,38,Hot,,2024-11-05 00:00:00,jack.roberts@gmail.com
L_JX_034,Jacob White,Self-Gifting,Tiffany,North America,Referral,5,22.7,9,True,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-necklaces-pendants-1904368010.html,OP_JX_134,Olive Leaf Vine Pendant,Initial Contact,29753,11,Converted,2024-12-09,2024-10-19 00:00:00,jacob.white@gmail.com
L_JX_035,Mason Taylor,Wedding Planner,Tiffany,Oceania,LinkedIn,9,47.0,5,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-religious-signs-symbols-18k-yellow-gold-necklaces-pendants-1414152075.html,OP_JX_135,Star of David Pendant,Lead,23704,22,Pending,,2024-11-10 00:00:00,mason.taylor@gmail.com
L_JX_036,Grace Campbell,Wedding Planner,Tiffany,Europe,Word of Mouth,9,7.1,9,True,https://www.tiffany.com/jewelry/necklaces-pendants/return-to-tiffany-18k-rose-gold-necklaces-pendants-1364377759.html,OP_JX_136,"Heart Tag Pendant in Rose Gold, Mini",Closed Won,26501,69,Hot,2024-12-02,2024-11-11 00:00:00,grace.campbell@gmail.com
L_JX_037,Olivia Jones,Corporate Buyer,Tiffany,Middle East,Word of Mouth,15,23.4,1,False,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-11k-yellow-gold-1904359410.html,OP_JX_137,"Open Heart Pendant in Yellow Gold, 11 mm",Qualification,9720,25,Hot,,2024-10-26 00:00:00,olivia.jones@gmail.com
L_JX_038,Elizabeth Harris,Corporate Buyer,Tiffany,Europe,Facebook,9,46.7,5,False,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_138,"Open Heart Pendant in Yellow Gold, 7 mm",Qualification,23717,98,Ready,,2024-11-03 00:00:00,elizabeth.harris@gmail.com
L_JX_039,Harper Thomas,Gift Buyer,Tiffany,Oceania,Forbes Ad,11,36.5,12,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-bean-18k-yellow-gold-necklaces-pendants-1414152772.html,OP_JX_139,"Bean® design Pendant in Yellow Gold, 9 mm",Closed Won,1992,46,Pending,,2024-11-26 00:00:00,harper.thomas@gmail.com
L_JX_040,Elijah Lopez,Engagement Shopper,Tiffany,Oceania,LinkedIn,9,44.6,4,True,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_140,Loving Heart Pendant,Lead,29639,12,Converted,2024-12-24,2024-10-10 00:00:00,elijah.lopez@gmail.com
L_JX_041,Aria Torres,Jewelry Collector,Tiffany,Western Europe,LinkedIn,4,26.9,6,True,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424518852.html,OP_JX_141,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.05 ct),Lead,13922,57,In Progress,2024-12-26,2024-11-18 00:00:00,aria.torres@gmail.com
L_JX_042,Elijah Lopez,Luxury Shopper,Tiffany,Latin America,Forbes Ad,7,7.0,2,True,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_142,"Open Heart Pendant in Yellow Gold, 7 mm",Qualification,13617,22,Cold,2024-12-18,2024-11-30 00:00:00,elijah.lopez@gmail.com
L_JX_043,Olivia Jones,Wedding Planner,Tiffany,Western Europe,Instagram,10,43.5,2,True,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-necklaces-pendants-1904368010.html,OP_JX_143,Olive Leaf Vine Pendant,Initial Contact,12754,54,In Progress,2024-12-07,2024-11-04 00:00:00,olivia.jones@gmail.com
L_JX_044,Evelyn Jackson,Engagement Shopper,Tiffany,Latin America,Partnership,10,3.5,12,True,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424550743.html,OP_JX_144,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.03 ct),Negotiation,5145,29,Cold,2024-12-01,2024-11-05 00:00:00,evelyn.jackson@gmail.com
L_JX_045,Sebastian Young,Anniversary Buyer,Tiffany,Middle East,Google Search,8,36.2,11,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424550743.html,OP_JX_145,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.03 ct),Negotiation,9978,79,Cold,,2024-11-04 00:00:00,sebastian.young@gmail.com
L_JX_046,David Nguyen,Style Blogger,Tiffany,Oceania,Referral,8,11.6,11,True,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-1364371976.html,OP_JX_146,"Smile Pendant in Yellow Gold, Small",Qualification,28844,95,Hot,2024-12-09,2024-10-14 00:00:00,david.nguyen@gmail.com
L_JX_047,David Nguyen,Jewelry Collector,Tiffany,Western Europe,Pinterest,4,28.4,3,False,https://www.tiffany.com/jewelry/necklaces-pendants/18k-rose-gold-round-brilliant-diamonds-necklaces-pendants-1904170050.html,OP_JX_147,Olive Leaf Pendant in Rose Gold,Initial Contact,26195,35,In Progress,,2024-11-20 00:00:00,david.nguyen@gmail.com
L_JX_048,Abigail Lee,Self-Gifting,Tiffany,Western Europe,Direct,2,8.9,4,True,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_148,"Open Heart Pendant in Yellow Gold, 7 mm",Proposal,2539,58,Ready,2024-12-12,2024-10-04 00:00:00,abigail.lee@gmail.com
L_JX_049,Olivia Jones,Engagement Shopper,Tiffany,Oceania,Instagram,6,47.8,9,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-religious-signs-symbols-18k-yellow-gold-necklaces-pendants-1414152075.html,OP_JX_149,Star of David Pendant,Lead,26211,26,Pending,,2024-11-13 00:00:00,olivia.jones@gmail.com
L_JX_050,Lucas Wilson,Gift Buyer,Tiffany,Latin America,LinkedIn,9,37.8,10,False,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-natural-freshwater-pearl-necklaces-pendants-1904583607.html,OP_JX_150,Olive Leaf Pendant in Yellow Gold with Pearls,Lead,2828,53,Hot,,2024-11-03 00:00:00,lucas.wilson@gmail.com
L_JX_051,Isabella Rodriguez,Wedding Planner,Tiffany,Western Europe,Direct,2,27.3,8,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424518852.html,OP_JX_151,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.05 ct),Proposal,17398,96,Pending,,2024-10-24 00:00:00,isabella.rodriguez@gmail.com
L_JX_052,William Martinez,Luxury Shopper,Tiffany,East Asia,Referral,11,18.1,10,True,https://www.tiffany.com/jewelry/necklaces-pendants/return-to-tiffany-18k-rose-gold-necklaces-pendants-1364377759.html,OP_JX_152,"Heart Tag Pendant in Rose Gold, Mini",Negotiation,8989,87,Converted,2024-12-10,2024-11-13 00:00:00,william.martinez@gmail.com
L_JX_053,Jacob White,Luxury Shopper,Tiffany,Europe,Partnership,2,14.2,12,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-bean-18k-yellow-gold-necklaces-pendants-1414152772.html,OP_JX_153,"Bean® design Pendant in Yellow Gold, 9 mm",Negotiation,4796,90,Pending,,2024-10-23 00:00:00,jacob.white@gmail.com
L_JX_054,Harper Thomas,Wedding Planner,Tiffany,East Asia,Instagram,13,24.5,10,True,https://www.tiffany.com/jewelry/necklaces-pendants/18k-rose-gold-round-brilliant-diamonds-necklaces-pendants-1904170050.html,OP_JX_154,Olive Leaf Pendant in Rose Gold,Initial Contact,1144,44,In Progress,2024-12-27,2024-10-19 00:00:00,harper.thomas@gmail.com
L_JX_055,Owen Baker,Anniversary Buyer,Tiffany,Asia Pacific,Partnership,6,4.2,6,False,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-natural-freshwater-pearl-necklaces-pendants-1904583607.html,OP_JX_155,Olive Leaf Pendant in Yellow Gold with Pearls,Initial Contact,15885,44,Converted,,2024-10-12 00:00:00,owen.baker@gmail.com
L_JX_056,Carter Green,Jewelry Collector,Tiffany,Middle East,Partnership,2,46.7,12,True,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_156,Loving Heart Pendant,Closed Won,3110,86,Pending,2024-12-27,2024-11-16 00:00:00,carter.green@gmail.com
L_JX_057,Abigail Lee,Engagement Shopper,Tiffany,Oceania,Forbes Ad,5,13.4,3,True,https://www.tiffany.com/jewelry/necklaces-pendants/ep-religious-signs-symbols-18k-yellow-gold-necklaces-pendants-1414152075.html,OP_JX_157,Star of David Pendant,Initial Contact,3665,86,Converted,2024-12-17,2024-10-20 00:00:00,abigail.lee@gmail.com
L_JX_058,Liam Brown,Luxury Shopper,Tiffany,Middle East,Google Search,2,30.6,12,False,https://www.tiffany.com/jewelry/necklaces-pendants/picasso-graffiti-18k-yellow-gold-necklaces-pendants-1904370941.html,OP_JX_158,Love Pendant (Paloma's Graffiti),Lead,26658,38,Pending,,2024-11-01 00:00:00,liam.brown@gmail.com
L_JX_059,Michael Sanchez,Self-Gifting,Tiffany,Latin America,Facebook,10,4.4,5,False,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_159,Loving Heart Pendant,Proposal,22621,89,In Progress,,2024-12-01 00:00:00,michael.sanchez@gmail.com
L_JX_060,John Mitchell,Fashion Enthusiast,Tiffany,Latin America,Direct,7,35.6,7,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424550743.html,OP_JX_160,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.03 ct),Closed Won,13171,21,Cold,,2024-11-22 00:00:00,john.mitchell@gmail.com
L_JX_061,Camila Wright,Style Blogger,Tiffany,Oceania,Partnership,11,23.2,4,False,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-1364371976.html,OP_JX_161,"Smile Pendant in Yellow Gold, Small",Qualification,29243,62,Pending,,2024-10-03 00:00:00,camila.wright@gmail.com
L_JX_062,Mila Clark,Engagement Shopper,Tiffany,North America,Forbes Ad,12,17.5,7,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-open-heart-18k-rose-gold-necklaces-pendants-1414122376.html,OP_JX_162,"Open Heart Pendant in Rose Gold, 7 mm",Negotiation,17261,94,Hot,,2024-10-11 00:00:00,mila.clark@gmail.com
L_JX_063,Luna Hall,Gift Buyer,Tiffany,Oceania,Instagram,12,46.6,2,False,https://www.tiffany.com/jewelry/necklaces-pendants/18k-rose-gold-round-brilliant-diamonds-necklaces-pendants-1904170050.html,OP_JX_163,Olive Leaf Pendant in Rose Gold,Proposal,23233,26,Converted,,2024-10-27 00:00:00,luna.hall@gmail.com
L_JX_064,Ava Miller,Wedding Planner,Tiffany,East Asia,Referral,10,20.6,6,True,https://www.tiffany.com/jewelry/necklaces-pendants/picasso-graffiti-18k-yellow-gold-necklaces-pendants-1904370941.html,OP_JX_164,Love Pendant (Paloma's Graffiti),Proposal,4862,91,Cold,2024-12-21,2024-11-15 00:00:00,ava.miller@gmail.com
L_JX_065,Sofia Allen,Gift Buyer,Tiffany,East Asia,Partnership,1,11.6,3,False,https://www.tiffany.com/jewelry/necklaces-pendants/18k-rose-gold-round-brilliant-diamonds-necklaces-pendants-1904170050.html,OP_JX_165,Olive Leaf Pendant in Rose Gold,Negotiation,24068,95,Pending,,2024-11-27 00:00:00,sofia.allen@gmail.com
L_JX_066,Carter Green,Engagement Shopper,Tiffany,Oceania,Google Search,2,28.4,8,True,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_166,"Open Heart Pendant in Yellow Gold, 7 mm",Lead,2112,49,Ready,2024-12-02,2024-11-11 00:00:00,carter.green@gmail.com
L_JX_067,Harper Thomas,Engagement Shopper,Tiffany,Western Europe,Word of Mouth,7,45.4,2,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424550743.html,OP_JX_167,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.03 ct),Initial Contact,11008,17,Ready,,2024-11-18 00:00:00,harper.thomas@gmail.com
L_JX_068,James Smith,Jewelry Collector,Tiffany,Latin America,Google Search,7,43.7,1,True,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_168,Loving Heart Pendant,Initial Contact,4830,97,Cold,2024-12-16,2024-11-30 00:00:00,james.smith@gmail.com
L_JX_069,Camila Wright,Jewelry Collector,Tiffany,North America,Referral,11,35.8,9,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-religious-signs-symbols-18k-yellow-gold-necklaces-pendants-1414152075.html,OP_JX_169,Star of David Pendant,Negotiation,14216,54,Hot,,2024-10-18 00:00:00,camila.wright@gmail.com
L_JX_070,Ava Miller,Luxury Shopper,Tiffany,East Asia,Word of Mouth,4,30.2,8,False,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-necklaces-pendants-1904368010.html,OP_JX_170,Olive Leaf Vine Pendant,Initial Contact,16555,14,Hot,,2024-11-19 00:00:00,ava.miller@gmail.com
L_JX_071,James Smith,Fashion Enthusiast,Tiffany,Middle East,Word of Mouth,8,14.7,1,False,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-mini-1364340236.html,OP_JX_171,"Smile Pendant in Yellow Gold, Mini",Qualification,5757,79,Hot,,2024-11-16 00:00:00,james.smith@gmail.com
L_JX_072,Jack Roberts,Gift Buyer,Tiffany,Europe,Facebook,6,16.4,1,True,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-1364371976.html,OP_JX_172,"Smile Pendant in Yellow Gold, Small",Initial Contact,19803,47,In Progress,2024-12-15,2024-10-04 00:00:00,jack.roberts@gmail.com
L_JX_073,Isabella Rodriguez,Wedding Planner,Tiffany,Europe,Instagram,2,11.0,6,True,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_173,"Open Heart Pendant in Yellow Gold, 7 mm",Qualification,16800,77,Hot,2024-12-10,2024-10-10 00:00:00,isabella.rodriguez@gmail.com
L_JX_074,Emma Williams,Luxury Shopper,Tiffany,Middle East,Partnership,5,38.7,9,False,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-11k-yellow-gold-1904359410.html,OP_JX_174,"Open Heart Pendant in Yellow Gold, 11 mm",Lead,17534,92,Ready,,2024-12-01 00:00:00,emma.williams@gmail.com
