lead_id,name,company,title,industry,region,website_visits,pages_per_visit,time_on_site,content_downloads,lead_source,converted,stage
L00069,Charles Smith,"Hensley, Sexton and Allen",Account Manager,Manufacturing,Africa,0,0.0,0,2,Olark Chat,0,Closed Won
L00070,Katrina Curtis,Lopez-Brown,Sales Director,Retail,Oceania,0,0.0,0,0,Olark Chat,0,Proposal
L00071,Ryan Crawford,Kim Group,Head of Sales,Technology,North America,7,7.0,231,1,Organic Search,0,Proposal
L00072,Katie Rhodes,Roberts PLC,VP of Marketing,Manufacturing,Oceania,2,2.0,269,0,Direct Traffic,0,Prospecting
L00073,Kimberly Taylor,"Escobar, White and Morris",Growth Lead,Manufacturing,Europe,2,2.0,203,1,Direct Traffic,1,Closed Won
L00074,Bridget Flowers,Doyle and Sons,Revenue Ops Analyst,Software,Oceania,2,2.0,295,0,Direct Traffic,0,Prospecting
L00075,Kathleen Schultz,"Ruiz, Johnson and Allen",Sales Director,Manufacturing,Asia,5,5.0,406,0,Google,0,Prospecting
L00076,Elizabeth Ward,Smith PLC,Head of Sales,Software,Africa,0,0.0,0,0,Olark Chat,1,Closed Lost
L00077,Brian Jefferson,"Villa, Bailey and Mckee",VP of Marketing,Retail,Asia,2,2.0,208,1,Google,0,Qualification
L00078,Philip Weaver,Garcia PLC,Account Manager,Software,Oceania,3,3.0,34,1,Direct Traffic,0,Negotiation
L00079,Mary Williams,"Diaz, Robinson and Wise",Revenue Ops Analyst,Manufacturing,Europe,5,2.5,371,1,Google,0,Prospecting
L00080,Gary Rose,Fisher-Smith,Revenue Ops Analyst,Healthcare,South America,7,3.5,905,1,Olark Chat,1,Prospecting
L00081,Tonya Singleton,"Gonzalez, Gonzalez and Fuller",Account Manager,Finance,Oceania,1,1.0,633,2,Direct Traffic,0,Prospecting
L00082,John Barnett,Caldwell PLC,Marketing Manager,Consulting,Europe,4,4.0,1075,1,Organic Search,0,Closed Won
L00083,Maria Lam,"Abbott, Walker and Brennan",Head of Sales,Software,Europe,20,2.22,1290,1,Google,1,Closed Lost
L00084,Mackenzie Porter,"Anderson, Barber and Roberts",Business Development Executive,Manufacturing,Europe,5,5.0,1062,0,Direct Traffic,1,Qualification
L00085,Sydney Allen,"Ryan, Williams and Hicks",Account Manager,Retail,Europe,4,4.0,357,0,Google,1,Qualification
L00086,Carmen Holt,Burch and Sons,VP of Marketing,Software,Oceania,2,2.0,70,0,Direct Traffic,0,Closed Lost
L00087,Paul Williamson,"Wilson, Moore and Hart",Chief Product Officer,Healthcare,Europe,0,0.0,0,0,Olark Chat,0,Prospecting
L00088,Melissa Jackson,Roach-Hamilton,Head of Sales,Technology,Asia,0,0.0,0,0,Olark Chat,0,Closed Won
L00089,Ellen Barnett,Hall Ltd,Chief Product Officer,Finance,North America,3,3.0,784,0,Google,1,Qualification
L00090,Gregory Freeman,"Brown, Rodriguez and May",Growth Lead,Software,Europe,3,1.5,842,0,Direct Traffic,1,Proposal
L00091,Richard Newman,Ross-Page,Growth Lead,Technology,Oceania,2,2.0,979,0,Google,1,Prospecting
L00092,Robert Gilbert,White-Long,Head of Sales,Healthcare,Oceania,21,3.5,1885,0,Google,1,Prospecting
L00093,Brianna Hall,"Evans, Martinez and Oconnor",Chief Product Officer,Finance,Europe,16,16.0,462,0,Google,0,Proposal
L00094,Darrell Hodge,"Hancock, Harrison and Rodriguez",Growth Lead,Manufacturing,Asia,3,3.0,1231,1,Direct Traffic,0,Negotiation
L00095,Sarah Burton,Horton-Page,Chief Product Officer,Healthcare,Oceania,2,1.0,476,2,Referral Sites,1,Negotiation
L00096,Angela Meza,"Webb, Chapman and Smith",Chief Product Officer,Retail,Europe,2,2.0,464,0,Google,1,Negotiation
L00097,Carmen Holt,Burch and Sons,VP of Marketing,Retail,Oceania,2,2.0,70,0,Direct Traffic,0,Proposal
L00098,Emily Logan,Montes PLC,Sales Director,Technology,Oceania,3,3.0,1202,0,Direct Traffic,1,Qualification
L00099,Leah Lynn,Hart Ltd,Sales Director,Retail,Africa,3,1.5,172,0,Olark Chat,0,Closed Won
L00100,Sue Gillespie,Burnett-Hicks,Account Manager,Software,South America,0,0.0,0,2,Olark Chat,0,Proposal
L00101,Richard Newman,Ross-Page,Growth Lead,Manufacturing,Oceania,2,2.0,979,0,Google,1,Qualification
L00102,Heidi Watson,"Castro, Marshall and Ward",Growth Lead,Manufacturing,Asia,2,2.0,202,1,Google,0,Prospecting
L00103,Jason Miller,Foster and Sons,VP of Marketing,Healthcare,Europe,5,5.0,763,2,Google,1,Qualification
L00104,Jacqueline Hanna,"Carr, Bryan and Stewart",Account Manager,Retail,South America,4,4.0,1316,0,Google,0,Prospecting
L00105,Nicholas Long,Hall-Harris,Revenue Ops Analyst,Software,Asia,0,0.0,0,1,Olark Chat,0,Closed Lost
L00106,Beth Cook,"Shaw, Carter and Bullock",Head of Sales,Finance,Oceania,8,2.67,546,0,Google,0,Qualification
L00107,Lori Thompson,Rodriguez Ltd,VP of Marketing,Technology,Asia,4,4.0,1670,1,Google,1,Closed Lost
L00108,Chad Smith,Rojas and Sons,VP of Marketing,Consulting,Europe,2,2.0,1182,0,Google,1,Closed Lost
L00109,Adam Bell,"Vincent, Evans and Ryan",Head of Sales,Finance,Asia,0,0.0,0,3,Olark Chat,0,Negotiation
L00110,Brian Briggs,"Patterson, Parrish and Ibarra",Revenue Ops Analyst,Finance,Asia,2,2.0,1849,0,Direct Traffic,1,Qualification
L00111,John Orozco,Juarez-Tran,Growth Lead,Technology,Oceania,3,3.0,138,1,bing,0,Qualification
L00112,Brett May,Bell and Sons,Sales Director,Consulting,Asia,5,2.5,1229,1,Organic Search,1,Prospecting
L00113,Mr. Gregory Hernandez,Parker-Hernandez,Revenue Ops Analyst,Finance,Europe,1,1.0,1403,0,Google,0,Closed Won
L00114,Gary Jones,Ayala-Dawson,Marketing Manager,Manufacturing,North America,4,4.0,44,0,Google,0,Proposal
L00115,Lynn Martinez,"Robertson, Ward and Bentley",Business Development Executive,Finance,Asia,16,2.67,1522,2,Direct Traffic,1,Qualification
L00116,Kelly Andrews,"Anderson, Harris and Lopez",VP of Marketing,Finance,Africa,5,2.5,171,0,Google,1,Prospecting
L00117,James Hines,Garcia-Moody,Business Development Executive,Software,South America,7,2.33,20,0,Google,0,Prospecting
L00118,Catherine Melendez,"Campbell, Noble and Martinez",Business Development Executive,Consulting,Europe,3,3.0,148,1,Direct Traffic,1,Negotiation
L00119,Sheri Lee,Thomas-Daniel,Revenue Ops Analyst,Software,North America,4,4.0,1055,0,Google,1,Qualification
L00120,Frank Leach,"Shaw, Ford and King",VP of Marketing,Finance,Asia,11,2.75,565,0,Google,0,Qualification
L00121,Michael Shaffer,"Potter, Richardson and Reed",Head of Sales,Technology,South America,0,0.0,0,0,Olark Chat,0,Qualification
L00122,Jessica Shepard,"Cook, Collier and Smith",Head of Sales,Manufacturing,Europe,6,1.5,1613,0,Direct Traffic,0,Closed Lost
L00123,Scott Collier,Phillips Inc,Business Development Executive,Technology,Oceania,8,8.0,94,1,Google,0,Closed Won
L00124,Sean Kelly,"Boone, Willis and Stewart",Chief Product Officer,Consulting,Oceania,11,11.0,220,1,Organic Search,0,Negotiation
L00125,Lori Brock,Mccarty-Valdez,Sales Director,Technology,Africa,21,3.5,558,1,Organic Search,1,Closed Lost
L00126,Bobby Barnett,"Yates, White and Brown",Chief Product Officer,Software,Europe,0,0.0,0,1,Welingak Website,1,Closed Lost
L00127,Julie Gonzalez,Dunn Inc,Account Manager,Technology,Europe,8,8.0,76,0,Organic Search,0,Closed Lost
L00128,Leonard Diaz,"Smith, Aguirre and Robinson",VP of Marketing,Healthcare,Oceania,3,1.0,645,0,Olark Chat,0,Closed Won
L00129,Amanda Peters MD,Walsh Inc,Business Development Executive,Technology,Oceania,3,3.0,1622,0,Google,1,Prospecting
L00130,Richard Mejia,"Martin, Payne and Dawson",Account Manager,Consulting,South America,0,0.0,0,0,Olark Chat,1,Qualification
L00131,Gregory Williams,"Gutierrez, Gonzalez and King",Chief Product Officer,Finance,Europe,4,1.33,998,0,Google,1,Qualification
L00132,Jordan Luna,Leonard-Jimenez,VP of Marketing,Technology,North America,2,2.0,465,0,Direct Traffic,0,Proposal
L00133,Ashlee Bennett,Leblanc-Long,Chief Product Officer,Retail,Asia,2,1.0,996,0,Google,1,Qualification
L00134,James Smith,"Martin, Wilson and Burch",Sales Director,Technology,North America,13,3.25,9,0,Google,0,Qualification
L00135,James Hunter,Miller and Sons,VP of Marketing,Software,North America,0,0.0,0,0,Olark Chat,0,Qualification
L00136,Jose Hayes,Graves-Cook,Revenue Ops Analyst,Retail,North America,5,5.0,401,2,Google,0,Prospecting
L00137,Brandy Cox,Contreras-Reid,Marketing Manager,Consulting,South America,4,4.0,324,2,Google,1,Prospecting
L00138,Derrick Murphy,Solis and Sons,Chief Product Officer,Technology,Asia,0,0.0,0,0,Olark Chat,0,Prospecting
L00139,Madison Ochoa,"Moore, Rowe and Burch",Account Manager,Software,Asia,3,3.0,1708,0,Google,0,Prospecting
L00140,Terry Jimenez,Jones-Williams,Account Manager,Healthcare,Europe,3,3.0,730,1,Direct Traffic,1,Proposal
L00141,Megan Drake,Robertson-Ford,Sales Director,Software,Oceania,1,1.0,86,1,Direct Traffic,0,Prospecting
L00142,Patricia Flores,"West, Johnson and Little",Revenue Ops Analyst,Finance,Europe,2,2.0,203,1,Google,0,Proposal
L00143,Renee Bell,Mcclure Inc,Marketing Manager,Software,Africa,1,1.0,1808,0,Direct Traffic,1,Qualification
L00144,Kimberly Avery,West-Brown,Revenue Ops Analyst,Retail,South America,10,3.33,918,1,Direct Traffic,1,Qualification
L00145,Colin Maldonado,Flores-White,Sales Director,Healthcare,Oceania,6,3.0,125,0,Organic Search,0,Qualification
L00146,Michael Hughes,Hawkins-Waters,Revenue Ops Analyst,Consulting,Europe,11,3.67,190,2,Google,0,Qualification
L00147,Michelle Howard,Carter-Zimmerman,Head of Sales,Finance,Africa,3,3.0,1625,0,Direct Traffic,0,Closed Won
L00148,Vincent Brown,"Carr, Cruz and Robinson",Growth Lead,Healthcare,Africa,4,1.0,420,0,Google,0,Closed Lost
L00149,Alexandra Bryan,"Bradley, Stevens and Cooper",Business Development Executive,Manufacturing,Europe,5,5.0,227,1,Organic Search,0,Prospecting
L00150,Sandra Black,"James, Collins and Reeves",Head of Sales,Finance,Europe,7,7.0,257,0,Organic Search,1,Prospecting
L00151,Connor Atkinson,Garner Ltd,Sales Director,Healthcare,South America,2,2.0,1328,0,Direct Traffic,1,Prospecting
L00152,Ronald White,Watson-Novak,Growth Lead,Software,Africa,2,2.0,253,0,Direct Traffic,0,Prospecting
L00153,Kenneth White,Snyder and Sons,Growth Lead,Healthcare,Europe,3,3.0,12,0,Direct Traffic,0,Qualification
L00154,James Calderon,Alvarado LLC,Chief Product Officer,Finance,Asia,5,2.5,1063,0,Google,1,Qualification
L00155,Taylor Frederick,"Gordon, Singh and Todd",Head of Sales,Manufacturing,Asia,6,3.0,1030,1,Google,0,Qualification
L00156,Matthew Diaz,"Kennedy, Wilson and Johnson",Business Development Executive,Retail,North America,0,0.0,0,1,Welingak Website,1,Qualification
L00157,Donna Wilson,Stewart Ltd,Growth Lead,Finance,South America,4,4.0,174,0,Direct Traffic,0,Prospecting
L00158,Jeremy Cunningham,Murphy-Herman,Account Manager,Software,Asia,3,3.0,599,0,Organic Search,0,Prospecting
L00159,John Davis,Holmes LLC,Revenue Ops Analyst,Software,South America,1,1.0,2,0,Direct Traffic,0,Prospecting
L00160,Theodore Johnson,Lang PLC,VP of Marketing,Software,Oceania,0,0.0,0,1,Olark Chat,0,Prospecting
L00161,Leslie Vega,"Gordon, Blake and Jones",Growth Lead,Finance,North America,2,2.0,1678,0,Direct Traffic,1,Closed Lost
L00162,George Clark,Reynolds-Pierce,Chief Product Officer,Software,Europe,0,0.0,0,0,Olark Chat,1,Prospecting
L00163,Mr. Ronald Hill,Richardson and Sons,Head of Sales,Healthcare,South America,5,5.0,71,1,Direct Traffic,0,Closed Lost
L00164,Chris Flynn,Miller LLC,Sales Director,Consulting,Europe,3,3.0,55,3,Google,0,Prospecting
L00165,Martha Bishop,Lewis-Li,VP of Marketing,Consulting,Asia,2,2.0,424,0,Direct Traffic,1,Qualification
L00166,Linda Patel,Robbins Group,Head of Sales,Manufacturing,South America,3,3.0,273,0,Organic Search,0,Proposal
L00167,Laura Howard,Hicks-Warner,Sales Director,Technology,Oceania,7,2.33,1186,2,Olark Chat,1,Prospecting
L00168,Gregory Williams,"Gutierrez, Gonzalez and King",Chief Product Officer,Consulting,Europe,4,1.33,998,0,Google,1,Qualification
L00169,Carol Watts,"Santiago, Anderson and Camacho",Business Development Executive,Software,North America,3,3.0,191,2,Organic Search,1,Prospecting
L00170,Tara Andrews,Ware-Stephens,Growth Lead,Technology,Oceania,9,4.5,1390,0,Direct Traffic,1,Prospecting
L00171,Erin Solis,Villanueva Ltd,Revenue Ops Analyst,Retail,Asia,3,3.0,342,1,Direct Traffic,0,Negotiation
L00172,Kevin Mcdaniel,Kirk Ltd,Business Development Executive,Manufacturing,Europe,3,1.5,829,0,Google,1,Prospecting
L00173,Rachel Khan,Silva-Phillips,Marketing Manager,Technology,North America,16,5.33,248,1,Organic Search,0,Prospecting
L00174,Chad Miller,Shannon Inc,Sales Director,Healthcare,Africa,2,2.0,1844,0,Direct Traffic,1,Prospecting
L00175,Amy Werner,Stewart-Johnson,Head of Sales,Software,South America,4,4.0,209,0,Direct Traffic,0,Qualification
L00176,William Walker,Owens PLC,Revenue Ops Analyst,Technology,Europe,2,2.0,305,1,Direct Traffic,0,Closed Won
L00177,Wendy Dixon,Buck-Mack,Account Manager,Software,Asia,8,2.67,877,3,Organic Search,1,Qualification
L00178,Debra Phillips,Williams Inc,VP of Marketing,Consulting,Europe,0,0.0,0,0,Olark Chat,0,Closed Lost
L00179,Nathan Hamilton,West-Smith,Business Development Executive,Consulting,Europe,4,4.0,1298,0,Direct Traffic,1,Qualification
L00180,Kelly Wright,Williams Group,Revenue Ops Analyst,Technology,North America,16,1.78,1448,0,Olark Chat,1,Prospecting
L00181,Heather Cochran,"Cohen, Small and Williams",Revenue Ops Analyst,Consulting,Asia,3,3.0,4,0,Google,0,Negotiation
L00182,Robert Mccullough,Page Inc,Head of Sales,Healthcare,Asia,4,4.0,120,0,Direct Traffic,0,Qualification
L00183,Casey Johnson,Perez-Ortega,Sales Director,Manufacturing,South America,0,0.0,0,0,Reference,1,Qualification
L00184,Sierra Dyer,Powell PLC,Chief Product Officer,Finance,Oceania,7,3.5,45,0,Google,0,Prospecting
L00185,Connie Edwards,Turner Group,Business Development Executive,Finance,Europe,0,0.0,0,2,Live Chat,1,Prospecting
L00186,Jaclyn Day,"Mooney, Thomas and Thomas",Growth Lead,Healthcare,North America,0,0.0,0,1,Olark Chat,1,Proposal
L00187,Janet Moon,"Cain, Miller and Smith",Growth Lead,Retail,Asia,0,0.0,0,0,Reference,1,Closed Lost
L00188,Wendy Dixon,Buck-Mack,Account Manager,Software,Asia,8,2.67,877,1,Organic Search,1,Closed Won
L00189,Tiffany Martin,Lewis-Brown,Revenue Ops Analyst,Software,Asia,0,0.0,0,0,Olark Chat,1,Proposal
L00190,David Conley DDS,"Sanchez, Morris and Quinn",Marketing Manager,Retail,Europe,7,1.75,84,0,Google,0,Proposal
L00191,David Lopez,Allen-Sanchez,Chief Product Officer,Manufacturing,North America,1,1.0,124,0,Direct Traffic,0,Closed Lost
L00192,Sharon Swanson,James Group,Business Development Executive,Finance,South America,7,2.33,1500,1,Direct Traffic,1,Closed Lost
L00193,Alexander Young,Wagner-Roberts,Revenue Ops Analyst,Consulting,Oceania,4,4.0,784,0,Google,1,Proposal
L00194,Jeffrey Powers,Young-Potter,Business Development Executive,Finance,Oceania,5,1.67,432,1,Google,0,Proposal
L00195,Gregory Murray,"Smith, Russell and Ford",Revenue Ops Analyst,Retail,Europe,1,1.0,192,1,Direct Traffic,0,Qualification
L00196,Colleen Mercado,Wang-Wilson,Sales Director,Retail,South America,4,4.0,97,0,Google,0,Prospecting
L00197,Jennifer Miller,Meyer-Sullivan,Account Manager,Consulting,Oceania,2,2.0,384,0,Referral Sites,0,Qualification
L00198,Lisa Carrillo,Rose-Sullivan,Revenue Ops Analyst,Software,Europe,2,2.0,1008,1,Direct Traffic,1,Qualification
L00199,Jonathan Cross,"Morris, Riley and Johns",Sales Director,Finance,Oceania,3,3.0,383,0,Google,0,Prospecting
L00200,Bobby Moore,"French, White and Lang",Head of Sales,Manufacturing,Europe,4,4.0,5,0,Direct Traffic,0,Prospecting
L00201,Vanessa Parker,Garrison PLC,Account Manager,Finance,South America,0,0.0,0,1,Olark Chat,0,Qualification
L00202,James Adams,Johnson-Martinez,Growth Lead,Consulting,Asia,3,3.0,776,1,Organic Search,1,Negotiation
L00203,Joseph Young,Mclean LLC,Chief Product Officer,Finance,Europe,0,0.0,0,1,Reference,1,Qualification
L00204,James Cummings MD,Jackson-Parrish,Head of Sales,Manufacturing,Oceania,6,3.0,14,0,Google,0,Prospecting
L00205,Mark Buckley,"Harris, Hughes and Walsh",Revenue Ops Analyst,Technology,South America,0,0.0,0,0,Olark Chat,0,Prospecting
L00206,Kevin Copeland,"Brewer, Thomas and Butler",Chief Product Officer,Consulting,Africa,6,6.0,247,0,Google,0,Negotiation
L00207,Mr. Jerry Mills,"Hudson, Escobar and Jimenez",Marketing Manager,Finance,Oceania,11,2.2,1060,2,Google,1,Closed Lost
L00208,Joseph Nelson,Cohen-Adkins,Head of Sales,Technology,Oceania,6,6.0,347,1,Google,0,Prospecting
L00209,Austin Bonilla,Deleon and Sons,Revenue Ops Analyst,Finance,Europe,11,3.67,366,0,Referral Sites,0,Prospecting
L00210,Jonathan Dunn,"Butler, Wallace and Gibson",Marketing Manager,Healthcare,Asia,7,7.0,845,0,Organic Search,1,Prospecting
L00211,Debra Thomas,"Perry, Bray and Pearson",Growth Lead,Software,Oceania,2,2.0,779,0,Google,1,Closed Lost
L00212,Robert Scott,Fitzpatrick-Mejia,Chief Product Officer,Technology,Oceania,5,2.5,747,0,Google,0,Closed Won
L00213,Christopher Peck,"Miller, Simmons and Walker",Growth Lead,Retail,Oceania,2,2.0,246,1,Direct Traffic,0,Prospecting
L00214,Leonard Harvey,"Gamble, Clark and Barton",Growth Lead,Technology,North America,8,8.0,286,0,Organic Search,0,Prospecting
L00215,Jason Warner,Peck PLC,Sales Director,Technology,Africa,1,1.0,213,0,Referral Sites,0,Proposal
L00216,Ruben Rocha,Edwards LLC,VP of Marketing,Retail,Europe,0,0.0,0,2,Olark Chat,0,Negotiation
L00217,Michael Aguilar,Patterson-White,VP of Marketing,Healthcare,Oceania,4,4.0,1373,0,Direct Traffic,1,Qualification
L00218,Whitney Todd,Thompson Inc,Revenue Ops Analyst,Healthcare,Oceania,1,1.0,145,0,Reference,1,Prospecting
L00219,Christopher Weaver,"Harvey, Durham and Noble",VP of Marketing,Healthcare,Europe,14,7.0,438,0,Organic Search,1,Qualification
L00220,Jon Rodriguez,Harrison Group,Head of Sales,Healthcare,Oceania,2,2.0,280,0,Direct Traffic,1,Prospecting
